year,category,value_rm_million
2015,Accommodation,17656.4
2016,Accommodation,20142.5
2017,Accommodation,21034.2
2018,Accommodation,21622.8
2019,Accommodation,22007.3
2020,Accommodation,3144.0
2021,Accommodation,64.8
2022,Accommodation,5234.1
2023,Accommodation,14369.0
2024,Accommodation,19752.7
2015,Food & Beverage,10106.2
2016,Food & Beverage,10602.9
2017,Food & Beverage,11446.0
2018,Food & Beverage,11784.7
2019,Food & Beverage,12019.2
2020,Food & Beverage,2011.2
2021,Food & Beverage,78.6
2022,Food & Beverage,5603.0
2023,Food & Beverage,10574.6
2024,Food & Beverage,17102.7
2015,Passenger Transport,13362.5
2016,Passenger Transport,14476.1
2017,Passenger Transport,14850.5
2018,Passenger Transport,15188.0
2019,Passenger Transport,16023.7
2020,Passenger Transport,2413.0
2021,Passenger Transport,178.0
2022,Passenger Transport,7160.7
2023,Passenger Transport,16290.8
2024,Passenger Transport,20449.0
2015,Travel Agencies,4165.0
2016,Travel Agencies,4612.8
2017,Travel Agencies,4217.0
2018,Travel Agencies,3869.6
2019,Travel Agencies,4047.1
2020,Travel Agencies,582.5
2021,Travel Agencies,0.5
2022,Travel Agencies,740.7
2023,Travel Agencies,3295.1
2024,Travel Agencies,4302.6
2015,"Cultural, Sports & Rec",2200.2
2016,"Cultural, Sports & Rec",2424.1
2017,"Cultural, Sports & Rec",2555.6
2018,"Cultural, Sports & Rec",2366.3
2019,"Cultural, Sports & Rec",2526.7
2020,"Cultural, Sports & Rec",395.1
2021,"Cultural, Sports & Rec",9.8
2022,"Cultural, Sports & Rec",1755.8
2023,"Cultural, Sports & Rec",2845.8
2024,"Cultural, Sports & Rec",2892.5
2015,Automotive Fuel,646.3
2016,Automotive Fuel,657.7
2017,Automotive Fuel,602.4
2018,Automotive Fuel,615.6
2019,Automotive Fuel,467.2
2020,Automotive Fuel,24.0
2021,Automotive Fuel,0.1
2022,Automotive Fuel,325.9
2023,Automotive Fuel,748.9
2024,Automotive Fuel,1075.6
2015,Tourism Goods,23827.5
2016,Tourism Goods,25920.9
2017,Tourism Goods,28141.7
2018,Tourism Goods,29373.7
2019,Tourism Goods,29924.4
2020,Tourism Goods,4717.9
2021,Tourism Goods,44.4
2022,Tourism Goods,11288.4
2023,Tourism Goods,25387.6
2024,Tourism Goods,38672.9
2015,Tourism Services,2673.5
2016,Tourism Services,2782.8
2017,Tourism Services,2883.3
2018,Tourism Services,2861.7
2019,Tourism Services,2405.3
2020,Tourism Services,406.0
2021,Tourism Services,94.8
2022,Tourism Services,1703.1
2023,Tourism Services,2314.8
2024,Tourism Services,2780.6
