country,year,arrivals,origin_lon,origin_lat,dest_lon,dest_lat
Singapore,2019,17033066,103.8198,1.3521,109.6,3.1
Singapore,2020,2871340,103.8198,1.3521,109.6,3.1
Singapore,2021,16729,103.8198,1.3521,109.6,3.1
Singapore,2022,8399088,103.8198,1.3521,109.6,3.1
Singapore,2023,14828553,103.8198,1.3521,109.6,3.1
Singapore,2024,18855680,103.8198,1.3521,109.6,3.1
Indonesia,2019,3882666,113.9213,-0.7893,109.6,3.1
Indonesia,2020,762854,113.9213,-0.7893,109.6,3.1
Indonesia,2021,13161,113.9213,-0.7893,109.6,3.1
Indonesia,2022,1601156,113.9213,-0.7893,109.6,3.1
Indonesia,2023,3479392,113.9213,-0.7893,109.6,3.1
Indonesia,2024,4145127,113.9213,-0.7893,109.6,3.1
China,2019,3330129,104.1954,35.8617,109.6,3.1
China,2020,428642,104.1954,35.8617,109.6,3.1
China,2021,7729,104.1954,35.8617,109.6,3.1
China,2022,260079,104.1954,35.8617,109.6,3.1
China,2023,1613312,104.1954,35.8617,109.6,3.1
China,2024,3725894,104.1954,35.8617,109.6,3.1
Thailand,2019,2223243,100.9925,15.87,109.6,3.1
Thailand,2020,545803,100.9925,15.87,109.6,3.1
Thailand,2021,318245,100.9925,15.87,109.6,3.1
Thailand,2022,1185459,100.9925,15.87,109.6,3.1
Thailand,2023,2300158,100.9925,15.87,109.6,3.1
Thailand,2024,2268182,100.9925,15.87,109.6,3.1
Brunei,2019,1621344,114.7277,4.5353,109.6,3.1
Brunei,2020,190241,114.7277,4.5353,109.6,3.1
Brunei,2021,4039,114.7277,4.5353,109.6,3.1
Brunei,2022,404087,114.7277,4.5353,109.6,3.1
Brunei,2023,1116211,114.7277,4.5353,109.6,3.1
Brunei,2024,1732119,114.7277,4.5353,109.6,3.1
India,2019,846874,78.9629,20.5937,109.6,3.1
India,2020,175104,78.9629,20.5937,109.6,3.1
India,2021,3920,78.9629,20.5937,109.6,3.1
India,2022,360256,78.9629,20.5937,109.6,3.1
India,2023,773221,78.9629,20.5937,109.6,3.1
India,2024,1365387,78.9629,20.5937,109.6,3.1
Philippines,2019,576107,121.774,12.8797,109.6,3.1
Philippines,2020,87950,121.774,12.8797,109.6,3.1
Philippines,2021,2842,121.774,12.8797,109.6,3.1
Philippines,2022,203989,121.774,12.8797,109.6,3.1
Philippines,2023,461787,121.774,12.8797,109.6,3.1
Philippines,2024,571533,121.774,12.8797,109.6,3.1
South Korea,2019,764882,127.7669,35.9078,109.6,3.1
South Korea,2020,137924,127.7669,35.9078,109.6,3.1
South Korea,2021,3033,127.7669,35.9078,109.6,3.1
South Korea,2022,175553,127.7669,35.9078,109.6,3.1
South Korea,2023,465617,127.7669,35.9078,109.6,3.1
South Korea,2024,553165,127.7669,35.9078,109.6,3.1
Australia,2019,421267,133.7751,-25.2744,109.6,3.1
Australia,2020,84319,133.7751,-25.2744,109.6,3.1
Australia,2021,1324,133.7751,-25.2744,109.6,3.1
Australia,2022,174365,133.7751,-25.2744,109.6,3.1
Australia,2023,400909,133.7751,-25.2744,109.6,3.1
Australia,2024,447785,133.7751,-25.2744,109.6,3.1
Chinese Taipei,2019,419553,120.9605,23.6978,109.6,3.1
Chinese Taipei,2020,66165,120.9605,23.6978,109.6,3.1
Chinese Taipei,2021,565,120.9605,23.6978,109.6,3.1
Chinese Taipei,2022,55762,120.9605,23.6978,109.6,3.1
Chinese Taipei,2023,311437,120.9605,23.6978,109.6,3.1
Chinese Taipei,2024,423117,120.9605,23.6978,109.6,3.1
United Kingdom,2019,391002,-3.4359,55.3781,109.6,3.1
United Kingdom,2020,72274,-3.4359,55.3781,109.6,3.1
United Kingdom,2021,2702,-3.4359,55.3781,109.6,3.1
United Kingdom,2022,150903,-3.4359,55.3781,109.6,3.1
United Kingdom,2023,306926,-3.4359,55.3781,109.6,3.1
United Kingdom,2024,390035,-3.4359,55.3781,109.6,3.1
Japan,2019,507992,138.2529,36.2048,109.6,3.1
Japan,2020,89038,138.2529,36.2048,109.6,3.1
Japan,2021,3116,138.2529,36.2048,109.6,3.1
Japan,2022,100769,138.2529,36.2048,109.6,3.1
Japan,2023,277559,138.2529,36.2048,109.6,3.1
Japan,2024,367182,138.2529,36.2048,109.6,3.1
Vietnam,2019,426043,108.2772,14.0583,109.6,3.1
Vietnam,2020,68708,108.2772,14.0583,109.6,3.1
Vietnam,2021,586,108.2772,14.0583,109.6,3.1
Vietnam,2022,185333,108.2772,14.0583,109.6,3.1
Vietnam,2023,374181,108.2772,14.0583,109.6,3.1
Vietnam,2024,366525,108.2772,14.0583,109.6,3.1
United States,2019,299490,-95.7129,37.0902,109.6,3.1
United States,2020,54149,-95.7129,37.0902,109.6,3.1
United States,2021,2036,-95.7129,37.0902,109.6,3.1
United States,2022,119606,-95.7129,37.0902,109.6,3.1
United States,2023,257533,-95.7129,37.0902,109.6,3.1
United States,2024,304880,-95.7129,37.0902,109.6,3.1
France,2019,159324,2.2137,46.2276,109.6,3.1
France,2020,31792,2.2137,46.2276,109.6,3.1
France,2021,845,2.2137,46.2276,109.6,3.1
France,2022,63433,2.2137,46.2276,109.6,3.1
France,2023,132311,2.2137,46.2276,109.6,3.1
France,2024,183872,2.2137,46.2276,109.6,3.1
