year,industry,employment_thousands
2015,Accommodation,184.1
2016,Accommodation,207.4
2017,Accommodation,210.5
2018,Accommodation,222.4
2019,Accommodation,233.8
2020,Accommodation,209.9
2021,Accommodation,202.8
2022,Accommodation,218.7
2023,Accommodation,225.6
2024,Accommodation,231.9
2015,Food & Beverage,912.7
2016,Food & Beverage,1002.6
2017,Food & Beverage,1087.0
2018,Food & Beverage,1183.0
2019,Food & Beverage,1237.7
2020,Food & Beverage,1189.1
2021,Food & Beverage,1164.4
2022,Food & Beverage,1189.5
2023,Food & Beverage,1244.5
2024,Food & Beverage,1294.4
2015,Passenger Transport,159.2
2016,Passenger Transport,164.5
2017,Passenger Transport,162.5
2018,Passenger Transport,171.3
2019,Passenger Transport,177.3
2020,Passenger Transport,158.2
2021,Passenger Transport,154.1
2022,Passenger Transport,167.9
2023,Passenger Transport,171.9
2024,Passenger Transport,175.7
2015,Travel Agencies,32.7
2016,Travel Agencies,35.8
2017,Travel Agencies,40.1
2018,Travel Agencies,38.7
2019,Travel Agencies,40.7
2020,Travel Agencies,31.0
2021,Travel Agencies,23.6
2022,Travel Agencies,25.7
2023,Travel Agencies,27.7
2024,Travel Agencies,29.4
2015,"Cultural, Sports & Rec",75.6
2016,"Cultural, Sports & Rec",74.8
2017,"Cultural, Sports & Rec",78.9
2018,"Cultural, Sports & Rec",80.9
2019,"Cultural, Sports & Rec",81.2
2020,"Cultural, Sports & Rec",63.2
2021,"Cultural, Sports & Rec",48.0
2022,"Cultural, Sports & Rec",50.2
2023,"Cultural, Sports & Rec",54.6
2024,"Cultural, Sports & Rec",58.4
2015,Automotive Fuel Retail,32.9
2016,Automotive Fuel Retail,33.4
2017,Automotive Fuel Retail,34.4
2018,Automotive Fuel Retail,34.6
2019,Automotive Fuel Retail,34.7
2020,Automotive Fuel Retail,31.0
2021,Automotive Fuel Retail,29.5
2022,Automotive Fuel Retail,29.7
2023,Automotive Fuel Retail,30.4
2024,Automotive Fuel Retail,31.4
2015,Retail Trade,992.5
2016,Retail Trade,1106.0
2017,Retail Trade,1104.5
2018,Retail Trade,1147.9
2019,Retail Trade,1158.1
2020,Retail Trade,1156.6
2021,Retail Trade,1166.7
2022,Retail Trade,1178.2
2023,Retail Trade,1254.9
2024,Retail Trade,1339.5
2015,Tourism Services,294.5
2016,Tourism Services,317.1
2017,Tourism Services,348.6
2018,Tourism Services,370.5
2019,Tourism Services,356.9
2020,Tourism Services,342.5
2021,Tourism Services,347.9
2022,Tourism Services,364.8
2023,Tourism Services,372.6
2024,Tourism Services,377.1
